Mar. 17, 2017   14:46:59
Chronopotentiometry
File: e:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.024
Anodic Current (A) = 0.024
Init P/N = N
Data Storage Interval (s) = 0.1
High E Limit (V) = 0.4
High E Hold Time (s) = 3
Low E Limit (V) = 0
Low E Hold Time (s) = 3
Cathodic Time (s) = 1000
Anodic Time (s) = 1000
Current Switching Polarity = Potential
Segment = 1000

Time/sec, Potential/V
3.420e+1, 2.091e-1
3.430e+1, 2.097e-1
3.440e+1, 2.103e-1
3.450e+1, 2.110e-1
3.460e+1, 2.116e-1
3.470e+1, 2.123e-1
3.480e+1, 2.129e-1
3.490e+1, 2.136e-1
3.500e+1, 2.143e-1
3.510e+1, 2.150e-1
3.520e+1, 2.157e-1
3.530e+1, 2.164e-1
3.540e+1, 2.171e-1
3.550e+1, 2.178e-1
3.560e+1, 2.185e-1
3.570e+1, 2.193e-1
3.580e+1, 2.200e-1
3.590e+1, 2.208e-1
3.600e+1, 2.215e-1
3.610e+1, 2.223e-1
3.620e+1, 2.230e-1
3.630e+1, 2.238e-1
3.640e+1, 2.246e-1
3.650e+1, 2.253e-1
3.660e+1, 2.261e-1
3.670e+1, 2.269e-1
3.680e+1, 2.277e-1
3.690e+1, 2.285e-1
3.700e+1, 2.293e-1
3.710e+1, 2.301e-1
3.720e+1, 2.309e-1
3.730e+1, 2.317e-1
3.740e+1, 2.326e-1
3.750e+1, 2.334e-1
3.760e+1, 2.342e-1
3.770e+1, 2.351e-1
3.780e+1, 2.359e-1
3.790e+1, 2.368e-1
3.800e+1, 2.377e-1
3.810e+1, 2.385e-1
3.820e+1, 2.394e-1
3.830e+1, 2.403e-1
3.840e+1, 2.411e-1
3.850e+1, 2.420e-1
3.860e+1, 2.428e-1
3.870e+1, 2.437e-1
3.880e+1, 2.446e-1
3.890e+1, 2.454e-1
3.900e+1, 2.463e-1
3.910e+1, 2.472e-1
3.920e+1, 2.481e-1
3.930e+1, 2.490e-1
3.940e+1, 2.499e-1
3.950e+1, 2.508e-1
3.960e+1, 2.518e-1
3.970e+1, 2.528e-1
3.980e+1, 2.537e-1
3.990e+1, 2.547e-1
4.000e+1, 2.557e-1
4.010e+1, 2.567e-1
4.020e+1, 2.578e-1
4.030e+1, 2.589e-1
4.040e+1, 2.601e-1
4.050e+1, 2.613e-1
4.060e+1, 2.625e-1
4.070e+1, 2.638e-1
4.080e+1, 2.652e-1
4.090e+1, 2.666e-1
4.100e+1, 2.681e-1
4.110e+1, 2.697e-1
4.120e+1, 2.713e-1
4.130e+1, 2.731e-1
4.140e+1, 2.749e-1
4.150e+1, 2.768e-1
4.160e+1, 2.789e-1
4.170e+1, 2.812e-1
4.180e+1, 2.837e-1
4.190e+1, 2.863e-1
4.200e+1, 2.891e-1
4.210e+1, 2.920e-1
4.220e+1, 2.951e-1
4.230e+1, 2.984e-1
4.240e+1, 3.019e-1
4.250e+1, 3.055e-1
4.260e+1, 3.092e-1
4.270e+1, 3.130e-1
4.280e+1, 3.170e-1
4.290e+1, 3.211e-1
4.300e+1, 3.252e-1
4.310e+1, 3.294e-1
4.320e+1, 3.337e-1
4.330e+1, 3.382e-1
4.340e+1, 3.429e-1
4.350e+1, 3.477e-1
4.360e+1, 3.528e-1
4.370e+1, 3.581e-1
4.380e+1, 3.637e-1
4.390e+1, 3.696e-1
4.400e+1, 3.755e-1
4.410e+1, 3.817e-1
4.420e+1, 3.880e-1
4.430e+1, 3.943e-1
4.440e+1, 3.680e-1
4.450e+1, 3.516e-1
4.460e+1, 3.390e-1
4.470e+1, 3.281e-1
4.480e+1, 3.185e-1
4.490e+1, 3.099e-1
4.500e+1, 3.023e-1
4.510e+1, 2.954e-1
4.520e+1, 2.891e-1
4.530e+1, 2.833e-1
4.540e+1, 2.777e-1
4.550e+1, 2.726e-1
4.560e+1, 2.674e-1
4.570e+1, 2.623e-1
4.580e+1, 2.572e-1
4.590e+1, 2.521e-1
4.600e+1, 2.469e-1
4.610e+1, 2.417e-1
4.620e+1, 2.364e-1
4.630e+1, 2.311e-1
4.640e+1, 2.258e-1
4.650e+1, 2.204e-1
4.660e+1, 2.152e-1
4.670e+1, 2.099e-1
4.680e+1, 2.048e-1
4.690e+1, 1.998e-1
4.700e+1, 1.949e-1
4.710e+1, 1.902e-1
4.720e+1, 1.856e-1
4.730e+1, 1.813e-1
4.740e+1, 1.772e-1
4.750e+1, 1.732e-1
4.760e+1, 1.695e-1
4.770e+1, 1.660e-1
4.780e+1, 1.628e-1
4.790e+1, 1.598e-1
4.800e+1, 1.570e-1
4.810e+1, 1.544e-1
4.820e+1, 1.521e-1
4.830e+1, 1.500e-1
4.840e+1, 1.480e-1
4.850e+1, 1.461e-1
4.860e+1, 1.444e-1
4.870e+1, 1.428e-1
4.880e+1, 1.413e-1
4.890e+1, 1.399e-1
4.900e+1, 1.386e-1
4.910e+1, 1.373e-1
4.920e+1, 1.361e-1
4.930e+1, 1.350e-1
4.940e+1, 1.339e-1
4.950e+1, 1.329e-1
4.960e+1, 1.319e-1
4.970e+1, 1.310e-1
4.980e+1, 1.302e-1
4.990e+1, 1.295e-1
5.000e+1, 1.288e-1
5.010e+1, 1.281e-1
5.020e+1, 1.275e-1
5.030e+1, 1.269e-1
5.040e+1, 1.263e-1
5.050e+1, 1.258e-1
5.060e+1, 1.253e-1
5.070e+1, 1.247e-1
5.080e+1, 1.242e-1
5.090e+1, 1.237e-1
5.100e+1, 1.231e-1
5.110e+1, 1.226e-1
5.120e+1, 1.220e-1
5.130e+1, 1.215e-1
